order_id,date,region,category,product,sales,quantity,discount,profit
1075,2024-06-02,North,Office Supplies,Hole Punch,18.49,10,0.0,7.39
1076,2024-06-04,West,Technology,RAM 32GB,149.99,2,0.1,37.49
1077,2024-06-06,East,Furniture,Dresser,549.99,1,0.05,82.49
1078,2024-06-08,Central,Office Supplies,Desk Calendar,14.99,22,0.0,5.99
1079,2024-06-10,South,Technology,CPU Cooler,79.99,3,0.1,19.99
1080,2024-06-12,North,Furniture,TV Cabinet,449.99,1,0.1,67.49
1081,2024-06-14,West,Office Supplies,Glue Sticks,7.99,30,0.0,3.19
1082,2024-06-16,East,Technology,Gaming Keyboard,149.99,4,0.1,37.49
1083,2024-06-18,Central,Furniture,Bean Bag,199.99,3,0.05,44.99
1084,2024-06-20,South,Office Supplies,Rubber Stamps,22.99,8,0.0,9.19
1085,2024-06-22,North,Technology,Monitor Stand,59.99,6,0.1,14.99
1086,2024-06-24,West,Furniture,Storage Box,49.99,10,0.0,14.99
1087,2024-06-26,East,Office Supplies,Shredder Bags,19.99,12,0.05,7.19
1088,2024-06-28,Central,Technology,Stylus Pen,29.99,9,0.1,7.49
1089,2024-06-30,South,Furniture,Plant Stand,69.99,7,0.0,20.99
1090,2024-07-02,North,Office Supplies,Bulletin Board,39.99,5,0.0,15.99
1091,2024-07-04,West,Technology,Action Camera,299.99,2,0.1,74.99
1092,2024-07-06,East,Furniture,Hammock,179.99,3,0.05,40.49
1093,2024-07-08,Central,Office Supplies,Paper Clips,5.49,40,0.0,2.19
1094,2024-07-10,South,Technology,Smart Thermostat,199.99,2,0.1,49.99
1095,2024-07-12,North,Furniture,Bar Stool,149.99,4,0.05,33.74
1096,2024-07-14,West,Office Supplies,Ink Refill,24.99,14,0.0,9.99
1097,2024-07-16,East,Technology,Smart Display,179.99,2,0.1,44.99
1098,2024-07-18,Central,Furniture,Folding Table,229.99,2,0.05,51.74
1099,2024-07-20,South,Office Supplies,Document Tray,27.99,9,0.0,11.19
1100,2024-07-22,North,Technology,Noise Gate,89.99,3,0.1,22.49
